location,total_sqft,bath,price,BHK
1st Block Jayanagar,2850,4,428,4
1st Block Jayanagar,1630,3,194,3
1st Block Jayanagar,1875,2,235,3
1st Block Jayanagar,1200,2,130,3
1st Block Jayanagar,1235,2,148,2
1st Block Jayanagar,2750,4,413,4
1st Block Jayanagar,2450,4,368,4
1st Phase JP Nagar,1875,3,167,3
1st Phase JP Nagar,1500,5,85,5
1st Phase JP Nagar,2065,4,210,3
1st Phase JP Nagar,2059,3,225,3
1st Phase JP Nagar,1394,2,100,2
1st Phase JP Nagar,1077,2,93,2
1st Phase JP Nagar,1566,2,180,2
1st Phase JP Nagar,840,2,50,1
1st Phase JP Nagar,1590,3,131,3
1st Phase JP Nagar,2180,3,210,3
1st Phase JP Nagar,1180,2,88.5,2
1st Phase JP Nagar,1200,2,86,2
1st Phase JP Nagar,1394,2,85,2
1st Phase JP Nagar,2077,3,175,3
1st Phase JP Nagar,1205,2,85,2
1st Phase JP Nagar,900,2,75,2
2nd Phase Judicial Layout,1450,2,50.75,3
2nd Phase Judicial Layout,1150,2,40.25,2
2nd Phase Judicial Layout,1350,2,47.25,3
2nd Phase Judicial Layout,1350,2,47.25,3
2nd Phase Judicial Layout,900,2,41,2
2nd Phase Judicial Layout,1681,3,69,3
2nd Phase Judicial Layout,1350,2,47.25,3
2nd Phase Judicial Layout,1150,2,40.25,2
2nd Stage Nagarbhavi,1500,4,220,4
2nd Stage Nagarbhavi,1350,4,200,4
2nd Stage Nagarbhavi,1200,4,225,4
2nd Stage Nagarbhavi,1500,3,230,4
5th Block Hbr Layout,1206,2,56,2
5th Block Hbr Layout,1270,2,70,3
5th Block Hbr Layout,1312,2,69,2
5th Block Hbr Layout,1100,2,48,2
5th Block Hbr Layout,3600,5,130,5
5th Block Hbr Layout,5100,5,300,6
5th Phase JP Nagar,1075,2,60,2
5th Phase JP Nagar,1150,3,52.5,2
5th Phase JP Nagar,1256,2,62.8,2
5th Phase JP Nagar,1207,2,63,2
5th Phase JP Nagar,1725,2,100,3
5th Phase JP Nagar,1440,2,60,2
5th Phase JP Nagar,1700,2,100,3
5th Phase JP Nagar,2500,5,110,5
5th Phase JP Nagar,600,1,30,1
5th Phase JP Nagar,1390,2,65,2
5th Phase JP Nagar,1256,2,62.8,2
5th Phase JP Nagar,1000,2,48,2
5th Phase JP Nagar,1350,2,75,3
5th Phase JP Nagar,552,1,23.5,1
5th Phase JP Nagar,1200,2,51,2
5th Phase JP Nagar,1030,2,57,2
5th Phase JP Nagar,1200,2,68,2
5th Phase JP Nagar,1190,2,61.8,2
5th Phase JP Nagar,4000,5,170,5
5th Phase JP Nagar,1080,2,53,2
5th Phase JP Nagar,1041,2,54,2
5th Phase JP Nagar,812,2,42,2
5th Phase JP Nagar,1010,2,57,2
5th Phase JP Nagar,1075,2,60,2
6th Phase JP Nagar,1192,2,74,2
6th Phase JP Nagar,1180,2,80,2
6th Phase JP Nagar,3245,4,250,4
6th Phase JP Nagar,1645,3,100,3
6th Phase JP Nagar,1140,2,65,2
6th Phase JP Nagar,2040,3,200,3
6th Phase JP Nagar,1213,2,63,2
6th Phase JP Nagar,1216,2,60,2
6th Phase JP Nagar,1460,2,80,2
6th Phase JP Nagar,2003,3,200,3
6th Phase JP Nagar,1810,3,131,3
6th Phase JP Nagar,1515,2,135,3
6th Phase JP Nagar,1192,2,75,2
6th Phase JP Nagar,1280,2,88,2
7th Phase JP Nagar,1080,2,72,2
7th Phase JP Nagar,1270,2,93,2
7th Phase JP Nagar,1420,2,100,3
7th Phase JP Nagar,1850,3,150,3
7th Phase JP Nagar,1245,2,94,2
7th Phase JP Nagar,1175,2,82,2
7th Phase JP Nagar,1400,2,95,3
7th Phase JP Nagar,2225,3,160,3
7th Phase JP Nagar,1050,2,71,2
7th Phase JP Nagar,1100,2,46,2
7th Phase JP Nagar,918,2,50.49,2
7th Phase JP Nagar,1450,2,100,3
7th Phase JP Nagar,1190,2,49.98,2
7th Phase JP Nagar,1420,2,96,3
7th Phase JP Nagar,1680,3,120,3
7th Phase JP Nagar,980,2,69,2
7th Phase JP Nagar,1180,2,72,2
7th Phase JP Nagar,1400,3,115,3
7th Phase JP Nagar,1270,2,83,2
7th Phase JP Nagar,2503,4,188,4
7th Phase JP Nagar,2200,3,190,3
7th Phase JP Nagar,1575,2,110,3
7th Phase JP Nagar,1850,3,140,3
7th Phase JP Nagar,1575,2,120,3
7th Phase JP Nagar,1850,3,150,3
7th Phase JP Nagar,1680,3,120,3
7th Phase JP Nagar,1175,2,82.5,2
7th Phase JP Nagar,1215,2,90,2
7th Phase JP Nagar,1050,2,75,2
7th Phase JP Nagar,1300,3,89.13,3
7th Phase JP Nagar,1130,2,73,2
7th Phase JP Nagar,1450,3,100,3
7th Phase JP Nagar,1050,2,50,2
7th Phase JP Nagar,1275,2,87,2
7th Phase JP Nagar,1650,3,110,3
7th Phase JP Nagar,850,2,42,2
7th Phase JP Nagar,1680,3,117,3
7th Phase JP Nagar,1850,3,150,3
7th Phase JP Nagar,1236,2,61.33,2
7th Phase JP Nagar,1000,2,53,2
7th Phase JP Nagar,1680,3,125,3
7th Phase JP Nagar,1675,2,135,3
7th Phase JP Nagar,1187,2,59,2
7th Phase JP Nagar,1850,3,155,3
7th Phase JP Nagar,1000,2,61,2
7th Phase JP Nagar,1460,2,100,3
7th Phase JP Nagar,1650,3,110,3
7th Phase JP Nagar,1200,2,62.5,2
7th Phase JP Nagar,1000,2,70.65,2
7th Phase JP Nagar,1080,2,75,2
7th Phase JP Nagar,1680,3,125,3
7th Phase JP Nagar,1460,2,97,3
7th Phase JP Nagar,1120,2,65,2
7th Phase JP Nagar,1100,3,60,2
7th Phase JP Nagar,1790,3,120,3
7th Phase JP Nagar,1680,3,117,3
7th Phase JP Nagar,1050,2,77,2
7th Phase JP Nagar,1050,2,75,2
7th Phase JP Nagar,1040,2,75,2
7th Phase JP Nagar,1400,2,95,3
7th Phase JP Nagar,1800,3,130,3
7th Phase JP Nagar,1050,2,68,2
7th Phase JP Nagar,1000,2,60,2
7th Phase JP Nagar,1680,3,125,3
7th Phase JP Nagar,1050,2,77.47,2
7th Phase JP Nagar,1270,2,80,2
7th Phase JP Nagar,1680,3,122,3
7th Phase JP Nagar,1130,2,85,2
7th Phase JP Nagar,1680,3,130,3
7th Phase JP Nagar,980,2,77.44,2
7th Phase JP Nagar,1680,3,112,3
7th Phase JP Nagar,2095,3,150,3
7th Phase JP Nagar,1976,3,145,3
7th Phase JP Nagar,1600,2,110,3
7th Phase JP Nagar,1765,3,118,3
7th Phase JP Nagar,1275,2,88,3
7th Phase JP Nagar,1450,2,102,3
7th Phase JP Nagar,1575,2,110,3
7th Phase JP Nagar,750,1,47,1
7th Phase JP Nagar,990,2,50,2
7th Phase JP Nagar,1000,1,60,1
7th Phase JP Nagar,1430,2,102,3
7th Phase JP Nagar,1128,2,60,2
7th Phase JP Nagar,1140,2,57,2
7th Phase JP Nagar,1420,3,90,3
7th Phase JP Nagar,1530,2,108,2
8th Phase JP Nagar,1073.5,2,54.005,2
8th Phase JP Nagar,451,1,29.9,1
8th Phase JP Nagar,1062,2,42.47,2
8th Phase JP Nagar,1455,3,73.31,3
8th Phase JP Nagar,871,2,55,2
8th Phase JP Nagar,1098,2,43.91,2
8th Phase JP Nagar,1800,3,80,3
8th Phase JP Nagar,2700,4,130,4
8th Phase JP Nagar,1080,2,38,2
8th Phase JP Nagar,1059,2,34.5,2
8th Phase JP Nagar,1080,2,35,2
8th Phase JP Nagar,1062,2,42.47,2
8th Phase JP Nagar,500,1,31,1
8th Phase JP Nagar,1100,2,35,2
8th Phase JP Nagar,2100,4,92,4
8th Phase JP Nagar,1035,2,39.33,2
8th Phase JP Nagar,909,2,40.9,2
8th Phase JP Nagar,1431.5,3,72.02,3
8th Phase JP Nagar,1900,4,90,3
8th Phase JP Nagar,500,1,30,1
8th Phase JP Nagar,1125,2,36.94,2
8th Phase JP Nagar,1100,2,35,2
8th Phase JP Nagar,1089,2,43.55,2
8th Phase JP Nagar,1504,2,83,3
8th Phase JP Nagar,2600,4,115,4
8th Phase JP Nagar,1089,2,43.55,2
8th Phase JP Nagar,1513,2,62,2
8th Phase JP Nagar,1298,2,59,2
